Year,Team,YrTm,Season,CY Season Rank,CY Playoff Rank,GP,W,L,OT,P,ROW,P%,Shots/GP,GF/GP,GA/GP,PP%,PK%,Shots/GP,FOW%,TOI,GF,GA,GF60,GA60,GF%,SF,SA,SF60,SA60,SF%,FF,FA,FF60,FA60,FF%,CF,CA,CF60,CA60,CF%,Sh%,Sv%,PDO,OZFO%,DZFO%,NZFO%,GF-GA,GF/W,GF/L,GA/W,GA/L,PY Playoff RNK,2PY Playoff RNK,3PY Playoff RNK,4PYPlayoff RNK
2017,Minnesota Wild,2017Minnesota Wild,Regular,5,13,82,49,25,8,106,46,0.646,30.8,3.21,2.51,21,82.9,30.8,51.9,206.9125,263,206,3.18,2.49,56.1,2525,2461,30.5,29.7,50.6,3441,3441,41.6,41.6,50,4562,4602,55.1,55.6,49.8,10.42,91.63,102,33.4,33.8,32.8,57,5.367346939,10.52,4.204081633,8.24,12,8,8,14
2017,Montréal Canadiens,2017Montréal Canadiens,Regular,7,12,82,47,26,9,103,44,0.628,30,2.72,2.41,19.6,81.1,30,50.3,207.7881944,223,198,2.68,2.38,53,2460,2429,29.6,29.2,50.3,3448,3270,41.5,39.3,51.3,4735,4483,57,53.9,51.4,9.06,91.85,100.9,32.6,35.4,32,25,4.744680851,8.576923077,4.212765957,7.615384615,21,6,4,15
2017,Nashville Predators,2017Nashville Predators,Regular,17,2,82,41,29,12,94,39,0.573,31.2,2.9,2.68,18.9,80.9,31.2,51.4,207.7145833,238,220,2.86,2.65,52,2557,2472,30.8,29.8,50.8,3545,3460,42.7,41.6,50.6,4776,4570,57.5,55,51.1,9.31,91.1,100.4,34.1,34.4,31.5,18,5.804878049,8.206896552,5.365853659,7.586206897,6,11,19,27
2017,New Jersey Devils,2017New Jersey Devils,Regular,27,27,82,28,40,14,70,25,0.427,27.8,2.2,2.94,17.5,79.6,27.8,49.2,204.8069444,180,241,2.17,2.87,43.1,2244,2528,27.4,30.9,47,3079,3466,37.6,42.3,47,3974,4481,48.5,54.7,47,7.93,90.7,98.6,31.7,37,31.3,-61,6.428571429,4.5,8.607142857,6.025,20,25,19,21
2017,New York Islanders,2017New York Islanders,Regular,18,18,82,41,29,12,94,39,0.573,30.2,2.91,2.9,14.9,81.9,30.2,47.7,204.8569444,239,238,2.86,2.87,49.9,2455,2578,30,31.5,48.8,3364,3628,41.1,44.3,48.1,4531,4976,55.3,60.7,47.7,9.53,90.88,100.4,33.7,34.5,31.8,1,5.829268293,8.24137931,5.804878049,8.206896552,8,10,26,12
2017,New York Rangers,2017New York Rangers,Regular,9,8,82,48,28,6,102,45,0.622,29.7,3.09,2.63,20.2,79.8,29.7,48.4,204.7083333,253,216,3.05,2.61,53.9,2413,2437,29.5,29.8,49.8,3399,3402,41.5,41.5,50,4461,4624,54.5,56.5,49.1,10.36,91.22,101.6,33.5,33.9,32.5,37,5.270833333,9.035714286,4.5,7.714285714,16,4,2,7
2017,Ottawa Senators,2017Ottawa Senators,Regular,12,3,82,44,28,10,98,38,0.598,30,2.51,2.56,17,79.7,30,51,205.5520833,206,210,2.48,2.49,49.9,2430,2444,29.6,29.7,49.9,3326,3482,40.5,42.3,48.9,4525,4822,55,58.6,48.4,8.4,91.61,100,35.4,33.6,31.1,-4,4.681818182,7.357142857,4.772727273,7.5,19,12,19,8
2017,Philadelphia Flyers,2017Philadelphia Flyers,Regular,19,19,82,39,33,10,88,32,0.537,31.5,2.59,2.82,19.5,79.8,31.5,52.3,205.9020833,212,231,2.51,2.77,47.6,2537,2299,30.8,27.9,52.5,3576,3197,43.4,38.8,52.8,4881,4491,59.3,54.5,52.1,8.16,90.08,98.2,35.9,31.4,32.7,-19,5.435897436,6.424242424,5.923076923,7,13,24,10,20
2017,Pittsburgh Penguins,2017Pittsburgh Penguins,Regular,2,1,82,50,21,11,111,46,0.677,33.5,3.39,2.79,23.1,79.8,33.5,47.6,205.4097222,278,229,3.35,2.74,55,2724,2645,33.2,32.2,50.7,3613,3510,44,42.7,50.7,4757,4805,57.9,58.5,49.7,10.1,91.49,101.6,35.2,31.9,33,49,5.56,13.23809524,4.58,10.9047619,1,15,7,4
2017,San Jose Sharks,2017San Jose Sharks,Regular,10,11,82,46,29,7,99,44,0.604,29.9,2.67,2.44,16.7,80.7,29.9,48.1,206.0305556,219,200,2.65,2.43,52.2,2445,2264,29.7,27.5,51.9,3529,3259,42.8,39.5,52,4867,4613,59.1,56,51.3,8.92,91.17,100.1,34.9,31.7,33.4,19,4.760869565,7.551724138,4.347826087,6.896551724,2,22,11,6
2017,St. Louis Blues,2017St. Louis Blues,Regular,11,7,82,46,29,7,99,44,0.604,28.4,2.84,2.63,21.3,84.8,28.4,50.3,204.3604167,233,216,2.81,2.62,51.8,2303,2293,28.2,28.1,50.1,3172,3183,38.8,38.9,49.9,4225,4307,51.7,52.7,49.5,9.99,90.67,100.7,32.5,35.6,31.9,17,5.065217391,8.034482759,4.695652174,7.448275862,4,13,14,13
2017,Tampa Bay Lightning,2017Tampa Bay Lightning,Regular,16,16,82,42,30,10,94,38,0.573,29.9,2.8,2.73,22.8,81.4,29.9,47.7,205.2944444,230,224,2.75,2.69,50.6,2417,2462,29.4,30,49.5,3425,3361,41.7,40.9,50.5,4548,4365,55.4,53.2,51,9.35,91.02,100.4,33.8,34.4,31.8,6,5.476190476,7.666666667,5.333333333,7.466666667,3,2,16,28
2017,Toronto Maple Leafs,2017Toronto Maple Leafs,Regular,14,9,82,40,27,15,95,39,0.579,31.9,3.05,2.85,23.8,82.5,31.9,49.9,205.4743056,250,234,3.02,2.8,51.9,2585,2638,31.5,32.1,49.5,3703,3755,45.1,45.7,49.7,4918,4916,59.8,59.8,50,9.59,91.28,100.9,33.4,34.3,32.3,16,6.25,9.259259259,5.85,8.666666667,30,27,22,10
2017,Vancouver Canucks,2017Vancouver Canucks,Regular,29,29,82,30,43,9,69,26,0.421,27.7,2.17,2.94,14.1,76.7,27.7,51.1,202.4465278,178,241,2.1,2.88,42.2,2223,2541,27.5,31.4,46.7,3047,3444,37.6,42.5,46.9,4147,4451,51.2,55,48.2,7.65,90.83,98.5,34.4,33.7,31.9,-63,5.933333333,4.139534884,8.033333333,5.604651163,28,14,24,16
2017,Washington Capitals,2017Washington Capitals,Regular,1,5,82,55,19,8,118,53,0.72,30.4,3.18,2.16,23.1,83.8,30.4,49.8,204.7145833,261,177,3.19,2.14,59.9,2457,2261,30,27.6,52.1,3434,3243,41.9,39.6,51.4,4614,4334,56.3,52.9,51.6,10.62,92.26,102.9,34.7,33.2,32.1,84,4.745454545,13.73684211,3.218181818,9.315789474,7,5,17,11
2017,Winnipeg Jets,2017Winnipeg Jets,Regular,21,21,82,40,35,7,87,37,0.53,29.9,3,3.11,18.2,77.5,29.9,48.5,206.85,246,255,2.96,3.07,49.1,2447,2547,29.6,30.8,49,3360,3441,40.6,41.6,49.4,4431,4618,53.6,55.8,49,10.01,90.03,100,32.8,34.2,33,-9,6.15,7.028571429,6.375,7.285714286,24,16,22,18
2016,Washington Capitals,2016Washington Capitals,Regular,1,7,82,56,18,8,120,52,0.732,30.6,3.02,2.33,21.9,85.2,30.6,49.6,207.6125,248,191,2.99,2.3,56.5,2508,2332,30.2,28.1,51.8,3494,3325,42.1,40,51.2,4700,4591,56.6,55.3,50.6,9.89,91.81,101.7,34.1,33.2,32.7,57,4.428571429,13.77777778,3.410714286,10.61111111,5,17,11,5
2016,Pittsburgh Penguins,2016Pittsburgh Penguins,Regular,4,1,82,48,26,8,104,44,0.634,33.2,2.94,2.43,18.4,84.4,33.2,50.2,207.6972222,241,197,2.9,2.37,55,2722,2433,32.8,29.3,52.8,3638,3294,43.8,39.6,52.5,4831,4385,58.1,52.8,52.4,8.85,91.9,100.8,34.9,33.1,32,44,5.020833333,9.269230769,4.104166667,7.576923077,15,7,4,13
2016,Dallas Stars,2016Dallas Stars,Regular,2,5,82,50,23,9,109,48,0.665,32,3.23,2.78,22.1,82.3,32,50.2,206.9819444,265,227,3.2,2.74,53.9,2626,2370,31.7,28.6,52.6,3745,3435,45.2,41.5,52.2,5088,4659,61.5,56.3,52.2,10.09,90.42,100.5,34.4,32.5,33.1,38,5.3,11.52173913,4.54,9.869565217,19,13,21,18
2016,Los Angeles Kings,2016Los Angeles Kings,Regular,8,15,82,48,28,6,102,46,0.622,32,2.72,2.34,20,81.4,32,50.5,207.6923611,222,192,2.67,2.31,53.6,2622,2255,31.6,27.1,53.8,3844,3174,46.3,38.2,54.8,5130,4201,61.8,50.6,55,8.47,91.49,100,37.5,32.3,30.2,30,4.625,7.928571429,4,6.857142857,18,1,3,1
